rm	valence	arousal	dominance
a battery	0.134	-0.298	-0.096
a bit	-0.096	-0.264	-0.214
a bunch	0.088	-0.350	-0.068
a cappella	0.134	-0.116	-0.200
a couple	0.266	-0.110	0.090
a drive	0.134	0.136	0.060
a few	-0.138	-0.344	-0.160
a further	-0.214	-0.152	-0.122
a getaway	0.222	0.076	-0.032
a go	0.034	0.084	-0.034
a goner	-0.230	-0.148	-0.354
a good	0.666	-0.164	0.388
a handful	0.034	0.118	-0.100
a heel	0.000	-0.074	-0.130
a kickback	-0.600	0.064	-0.142
a little	0.072	-0.380	-0.358
a lot	0.100	-0.080	0.320
a mere	-0.310	-0.238	-0.066
a must	0.034	-0.276	0.134
a no-brainer	-0.270	0.044	-0.234
a one	0.172	-0.172	-0.032
a pair	0.200	-0.250	-0.188
a peach	0.370	-0.284	-0.138
a pleasure	0.452	-0.150	0.068
a plus	0.434	0.016	0.130
a priori	-0.138	-0.170	-0.038
a roll	0.138	-0.016	0.000
a sec	-0.310	-0.234	-0.366
a shame	-0.634	-0.088	-0.180
a single	-0.104	-0.126	-0.394
a smokescreen	-0.552	0.258	-0.404
a sport	0.380	0.302	0.142
a stretch	0.108	-0.034	0.228
a student	0.388	-0.188	0.064
a to-do	-0.104	0.050	-0.166
a ton	0.214	-0.090	0.108
a touch	0.172	-0.090	-0.036
a treat	0.536	-0.174	0.124
a while	0.034	-0.222	-0.060
aaaaaaah	-0.042	0.212	-0.418
aaaah	0.040	0.272	-0.436
aardvark	-0.146	-0.020	-0.126
aback	-0.230	-0.186	-0.424
abacus	0.020	-0.448	-0.030
abalone	0.000	-0.040	-0.176
abandon	-0.896	0.038	-0.599
abandoned	-0.908	-0.038	-0.740
abandoner	-0.667	0.667	-0.704
abandonment	-0.744	-0.140	-0.596
abase	-1.000	0.556	-0.958
abased	-1.000	-0.667	-0.917
abasement	-1.000	-0.333	-0.958
abash	-0.667	-0.667	-0.833
abashed	-0.646	0.288	-0.386
abashedly	-0.667	-0.619	-0.958
abashment	-0.815	-0.519	-0.778
abatable	0.500	-0.583	0.000
abate	-0.490	0.392	0.208
abatement	-0.224	-0.324	-0.328
abba	0.124	0.000	-0.040
abbey	0.160	-0.266	-0.112
abbot	-0.146	-0.358	-0.034
abbreviate	0.062	-0.250	-0.340
abbreviated	0.000	0.000	0.000
abbreviation	-0.062	-0.388	-0.310
abbreviator	0.000	0.556	0.370
abdicate	-0.667	-0.667	-0.889
abdication	-0.619	-0.630	-0.714
abdicator	-0.667	-0.619	-0.917
abdomen	-0.062	-0.076	-0.058
abdominal	-0.020	-0.088	-0.110
abdominally	0.000	-0.519	-0.292
abduct	-0.654	0.440	0.230
abducted	-0.905	0.667	-0.556
abductee	-0.714	0.619	-0.958
abduction	-0.876	0.917	-0.276
excited	0.600	0.700	0.300
energetic	0.400	0.600	0.200
happy	0.850	0.550	0.620
joy	0.880	0.600	0.600
calm	0.700	0.250	0.550
relaxed	0.780	0.300	0.600
angry	0.100	0.850	0.550
stressed	0.200	0.800	0.400
sad	0.150	0.300	0.350
depressed	0.100	0.200	0.300
tired	0.200	-0.200	0.200
peaceful	0.750	-0.100	0.500
adventurous	0.750	0.750	0.600
feeling	0.300	0.200	0.400
feel	0.300	0.200	0.400
amazing	0.800	0.600	0.650
wonderful	0.850	0.500	0.600
terrible	-0.800	-0.300	-0.400
awful	-0.850	-0.400	-0.500
great	0.750	0.400	0.600
good	0.700	0.300	0.550
bad	-0.600	-0.200	-0.300
worried	-0.300	0.700	-0.200
anxious	-0.200	0.750	-0.150
scared	-0.400	0.800	-0.300
fear	-0.400	0.800	-0.300
love	0.900	0.600	0.650
hate	-0.900	0.700	-0.500
frustrated	-0.600	0.700	-0.300
disappointed	-0.500	-0.200	-0.400
proud	0.750	0.500	0.700
confident	0.700	0.400	0.750
nervous	-0.300	0.750	-0.200
excited	0.600	0.700	0.300
thrilled	0.850	0.800	0.650
ecstatic	0.950	0.900	0.700
blissful	0.900	0.400	0.600
content	0.700	0.100	0.500
miserable	-0.800	-0.300	-0.600
lonely	-0.600	-0.200	-0.500
hopeful	0.700	0.400	0.600
optimistic	0.750	0.450	0.650
pessimistic	-0.500	-0.300	-0.400
enthusiastic	0.800	0.750	0.650
bored	0.300	-0.400	0.200
relaxing	0.750	-0.200	0.500
chaotic	-0.300	0.800	-0.400
overwhelmed	-0.400	0.700	-0.500
relieved	0.700	-0.300	0.500
grateful	0.800	0.300	0.600
appreciative	0.750	0.250	0.550
